Source,Target,Type,Id,Label,timeset,Weight,e_weight,e_crawldate
n2665,n30320,Directed,264508,,,65,7,20191008
n2670,n30320,Directed,264514,,,37,6,20191020
n2675,n30320,Directed,264519,,,13208,28,20191101
n2689,n30320,Directed,264538,,,12,6,20191012
n2695,n30320,Directed,264540,,,6,6,20191012
n2711,n30320,Directed,264541,,,115,15,20191012
n2719,n30320,Directed,264548,,,1071,51,20191102
n2772,n30320,Directed,264557,,,36,6,20191111
n2783,n30320,Directed,264563,,,8,8,20191008
n2796,n30320,Directed,264564,,,8,8,20190930
n2811,n30320,Directed,264565,,,220,10,20190930
n2812,n30320,Directed,264574,,,1773,12,20191101
n2832,n30320,Directed,264584,,,8,8,20191025
n2845,n30320,Directed,264585,,,58,6,20191102
n2850,n30320,Directed,264592,,,6,6,20191111
n2852,n30320,Directed,264593,,,8,8,20191008
n2853,n30320,Directed,264594,,,129,6,20191101
n2857,n30320,Directed,264602,,,15,6,20191111
n2859,n30320,Directed,264604,,,56,6,20191102
n2861,n30320,Directed,264611,,,7,7,20191102
n2863,n30320,Directed,264612,,,24,6,20191002
n2864,n30320,Directed,264616,,,29475,180,20190930
n2897,n30320,Directed,264632,,,32,6,20191024
n2918,n30320,Directed,264637,,,18,18,20191012
n2932,n30320,Directed,264638,,,20,6,20191008
n2945,n30320,Directed,264641,,,3924,41,20191020
n2961,n30320,Directed,264654,,,63,18,20191102
n2975,n30320,Directed,264657,,,197,197,20191024
n3000,n30320,Directed,264658,,,22,10,20191102
n3005,n30320,Directed,264660,,,12,6,20191111
n3006,n30320,Directed,264662,,,25,7,20191101
n3052,n30320,Directed,264665,,,36,6,20191102
n3062,n30320,Directed,264671,,,26,8,20191102
n3074,n30320,Directed,264674,,,1175,39,20190930
n3098,n30320,Directed,264683,,,2005,8,20190930
n3108,n30320,Directed,264699,,,86,6,20190930
n3135,n30320,Directed,264707,,,8,8,20191111
n3136,n30320,Directed,264708,,,418,40,20191001
n3164,n30320,Directed,264716,,,192,8,20191112
n3165,n30320,Directed,264728,,,81,9,20191101
n3173,n30320,Directed,264732,,,12,12,20191025
n3186,n30320,Directed,264733,,,60,6,20191101
n3192,n30320,Directed,264740,,,120,20,20191102
n3202,n30320,Directed,264746,,,74,8,20191001
n3215,n30320,Directed,264754,,,54,6,20191101
n3225,n30320,Directed,264761,,,56,8,20191009
n3229,n30320,Directed,264767,,,104,13,20191009
n3230,n30320,Directed,264774,,,56,8,20191102
n3233,n30320,Directed,264781,,,21,7,20191012
n3238,n30320,Directed,264784,,,28,14,20191030
n3242,n30320,Directed,264786,,,8,8,20191111
n3261,n30320,Directed,264787,,,6,6,20191008
n3274,n30320,Directed,264788,,,241,241,20191111
n3279,n30320,Directed,264789,,,6,6,20191002
n3286,n30320,Directed,264790,,,6,6,20191112
n3288,n30320,Directed,264791,,,72,18,20191020
n3315,n30320,Directed,264795,,,16,16,20191102
n3317,n30320,Directed,264796,,,40,20,20191111
n3331,n30320,Directed,264798,,,20,8,20191101
n3338,n30320,Directed,264800,,,48,12,20191030
n3343,n30320,Directed,264804,,,36,6,20191030
n3357,n30320,Directed,264810,,,12631,8,20191101
n3368,n30320,Directed,264820,,,600,6,20190930
n3386,n30320,Directed,264829,,,118,16,20191024
n3408,n30320,Directed,264836,,,36,6,20191020
n3415,n30320,Directed,264841,,,129,14,20191102
n3424,n30320,Directed,264849,,,24,6,20191102
n3451,n30320,Directed,264853,,,471,11,20190930
n3488,n30320,Directed,264862,,,938,43,20190930
n3518,n30320,Directed,264871,,,6,6,20191112
n3522,n30320,Directed,264872,,,19,19,20191111
n3530,n30320,Directed,264873,,,7,7,20191024
n3563,n30320,Directed,264874,,,126,6,20191101
n3564,n30320,Directed,264881,,,7,7,20191111
n3566,n30320,Directed,264882,,,6,6,20191111
n3569,n30320,Directed,264883,,,6,6,20191008
n3584,n30320,Directed,264884,,,7574,82,20190930
n3596,n30320,Directed,264893,,,69,6,20190930
n3614,n30320,Directed,264901,,,4954,297,20191001
n3667,n30320,Directed,264910,,,138,8,20191101
n3678,n30320,Directed,264913,,,178,6,20191031
n3707,n30320,Directed,264927,,,55,7,20191102
n3723,n30320,Directed,264934,,,12,12,20191031
n3726,n30320,Directed,264935,,,138,10,20191111
n3731,n30320,Directed,264942,,,6,6,20191024
n3732,n30320,Directed,264943,,,552,69,20191111
n3738,n30320,Directed,264951,,,18,6,20191111
n3753,n30320,Directed,264954,,,128,16,20191020
n3775,n30320,Directed,264962,,,42,6,20191012
n3777,n30320,Directed,264969,,,7,7,20191024
n3837,n30320,Directed,264970,,,4257,6,20191101
n3856,n30320,Directed,264982,,,496,62,20191012
n3871,n30320,Directed,264990,,,73,6,20190930
n3883,n30320,Directed,264996,,,41,6,20191024
n3905,n30320,Directed,265002,,,60,8,20191024
n3917,n30320,Directed,265009,,,3257,171,20190930
n3946,n30320,Directed,265018,,,6,6,20191002
n3961,n30320,Directed,265019,,,24,24,20191111
n3984,n30320,Directed,265020,,,30,6,20191024
n3991,n30320,Directed,265023,,,3022,69,20190930
n4003,n30320,Directed,265032,,,6,6,20191020
n4004,n30320,Directed,265033,,,51,6,20191020
n4007,n30320,Directed,265039,,,65,15,20191024
n4012,n30320,Directed,265043,,,69,6,20191030
n4023,n30320,Directed,265049,,,262,262,20191012
n4035,n30320,Directed,265050,,,8,8,20191025
n4049,n30320,Directed,265051,,,8,8,20191008
n4068,n30320,Directed,265052,,,11125,223,20191024
n4075,n30320,Directed,265067,,,92,27,20191001
n4077,n30320,Directed,265070,,,69,6,20191102
n4117,n30320,Directed,265078,,,14,6,20191012
n4125,n30320,Directed,265080,,,427,32,20191111
n4130,n30320,Directed,265088,,,12,6,20191024
n4145,n30320,Directed,265090,,,26,13,20191012
n4148,n30320,Directed,265092,,,12,6,20191024
n4229,n30320,Directed,265094,,,25,6,20191030
n4241,n30320,Directed,265098,,,1082,7,20191101
n4247,n30320,Directed,265108,,,9,9,20191102
n4249,n30320,Directed,265109,,,826,23,20191031
n4254,n30320,Directed,265119,,,7064,54,20191015
n4257,n30320,Directed,265150,,,8,8,20191102
n4264,n30320,Directed,265151,,,13014,9,20190930
n4273,n30320,Directed,265168,,,8,8,20191012
n4281,n30320,Directed,265169,,,560,135,20191020
n4283,n30320,Directed,265173,,,4135,145,20190930
n4289,n30320,Directed,265182,,,48,8,20191020
n4298,n30320,Directed,265187,,,78,39,20191012
n4334,n30320,Directed,265189,,,24,6,20191013
n4353,n30320,Directed,265192,,,14,6,20190930
n4367,n30320,Directed,265194,,,6,6,20191012
n4381,n30320,Directed,265195,,,549940,308,20190930
n4388,n30320,Directed,265216,,,7,7,20191102
n4402,n30320,Directed,265217,,,170,6,20191102
n4408,n30320,Directed,265226,,,20,10,20191102
