county,municipal,population,perc_black,perc_asian,perc_hispanic,perc_0_5,perc_65
Essex,South Orange,"16,198",28.66,5.16,6.13,6.32,10.53
Mercer,Pennington,"2,585",1.82,1.78,1.43,5.03,17.79
Warren,Pohatcong,"3,339",1.59,0.9,3.47,5.87,14.94
Warren,Washington,"6,461",6.01,3.42,8.5,6.42,10.56
Warren,White,"4,882",2.03,0.76,2.74,3.2,28.88
Morris,Chatham,"8,962",0.99,4.85,5.1,9.7,10.18
Gloucester,Woodbury,"10,174",24.91,1.28,10.66,6.98,13.99
Morris,Chatham Twp,"10,452",0.75,6.36,3.34,5.62,15.14
Hudson,West New York,"49,708",4.6,6.01,78.08,7.43,11.95
Morris,Chester Twp,"7,838",1.05,3.5,4.35,4.55,13.2
Morris,Denville,"16,635",1.42,6.52,5.31,5.2,15.74
Hunterdon,Milford,"1,233",0.24,0.97,2.19,5.6,15.98
Morris,East Hanover,"11,157",0.83,11.92,5.38,4.28,19.26
Ocean,Point Pleasant,"18,392",0.41,0.72,5.08,4.97,14.36
Cumberland,Downe,"1,585",2.59,0.25,3.85,5.17,20.44
Morris,Hanover,"13,712",1.01,10.8,4.59,5.11,18.13
Ocean,Plumsted,"8,421",1.81,0.87,5.91,5.07,11.41
Essex,Essex Fells,"2,113",1.09,2.18,1.99,5.68,16.14
Morris,Harding,"3,838",0.99,2.66,3.49,3.62,20.97
Gloucester,Elk,"4,216",14.78,0.64,5.1,6.45,12.03
Ocean,Point Pleasant Beach,"4,665",0.84,0.84,9.02,3.47,17.53
Gloucester,Pitman,"9,011",1.14,0.62,2.46,5.13,16.92
Camden,Audubon Park,"1,023",0.29,0.29,2.05,3.32,26
Camden,Lawnside,"2,945",88.83,1.43,4.38,5.06,17.28
Cape May,Cape May,"3,607",4.85,0.67,8.62,4.52,27.64
Hudson,Weehawken,"12,554",4.83,8.16,40.27,5.17,12.28
Middlesex,Jamesburg,"5,915",8.84,4.53,22.38,8.54,8.47
Hudson,Union City,"66,455",5.25,2.39,84.71,7.29,10.47
Middlesex,Helmetta,"2,178",3.95,4.87,7.53,6.29,9.64
Ocean,Lavallette,"1,875",0.11,0.53,2.99,1.71,40.37
Hunterdon,Bloomsbury,870,1.03,1.84,4.02,7.01,9.2
Ocean,Little Egg Harbor,"20,065",1.35,1.24,5.22,5.25,21.58
Middlesex,Milltown,"6,893",1.23,3.37,6.46,5.76,14.84
Hunterdon,Alexandria,"4,938",2,1.82,3.22,4.23,12.6
Ocean,Long Beach,"3,051",0.26,0.49,4.13,2.16,40.05
Middlesex,Metuchen,"13,574",4.88,12.96,6.89,6.4,13.84
Ocean,Manchester,"43,070",3.84,1.78,4.79,2.67,50.15
Ocean,Mantoloking,296,1.69,0.34,2.36,1.35,47.64
Middlesex,Edison,"99,967",7.05,43.19,8.11,6.42,12.63
Ocean,Ocean Twp,"8,332",0.59,1.08,2.76,4.22,24.45
Ocean,Pine Beach,"2,127",0.38,1.41,3.71,4.51,16.6
Middlesex,Sayreville,"42,704",10.71,16.12,12.31,6.55,12.14
Hudson,East Newark,"2,406",1.91,7.81,61.39,6.57,7.27
Gloucester,Woolwich,"10,200",9.97,6.02,3.58,9.12,6.37
Hudson,Hoboken,"50,005",3.53,7.12,15.2,6.78,6.31
Middlesex,North Brunswick,"40,742",17.47,24.27,17.73,7.27,9.28
Hudson,Guttenberg,"11,176",4.8,7.32,64.83,6.45,11.35
Middlesex,Monroe,"39,132",3.92,12.6,4.28,4.19,34.82
Middlesex,Piscataway,"56,044",20.69,33.45,11.22,5.91,9.7
Hudson,North Bergen,"60,773",4.04,6.55,68.4,6.29,13.47
Middlesex,Perth Amboy,"50,814",10.54,1.69,78.1,7.88,9.26
Hudson,Kearny,"40,684",5.37,4.41,39.95,5.48,10.72
Morris,Mendham Twp,"5,869",1.29,3.41,3.6,4.34,12.52
Morris,Morris Plains,"5,532",2.73,4.97,5.68,6.42,16.59
