county,municipal,muni_budget_pc,muni_budget
Bergen,Moonachie,"4,442","12,002,329"
Bergen,New Milford,"1,326","21,791,345"
Bergen,Northvale,"1,872","9,225,590"
Monmouth,West Long Branch,"1,534","12,088,379"
Morris,Boonton Twp,"1,712","7,254,888"
Mercer,Princeton (as of 1/1/2013),"2,092","65,228,003"
Monmouth,Shrewsbury Twp,"1,030","1,023,211"
Atlantic,Corbin City,"1,110","545,227"
Monmouth,Spring Lake Heights,"1,518","6,862,500"
Monmouth,Union Beach,"1,980","10,503,158"
Atlantic,Folsom,778,"1,380,851"
Monmouth,Upper Freehold,911,"6,447,825"
Atlantic,Egg Harbor,"1,488","6,029,641"
Passaic,Pompton Lakes,"1,293","14,201,730"
Passaic,North Haledon,"1,668","14,000,524"
Passaic,Wayne,"1,581","84,401,089"
Passaic,Ringwood,"1,358","16,564,627"
Ocean,Surf City,"5,834","6,995,000"
Ocean,Seaside Heights,"5,222","15,196,718"
Passaic,Haledon,"1,328","11,010,398"
Passaic,Bloomingdale,"1,491","12,018,804"
Salem,Elmer,828,"1,082,761"
Salem,Mannington,748,"1,283,832"
Hunterdon,Lebanon Twp,"1,124","6,835,817"
Hunterdon,Raritan Twp,874,"19,570,212"
Hunterdon,Kingwood,951,"3,556,775"
Hunterdon,Lebanon,"1,266","2,081,543"
Hunterdon,West Amwell,"1,454","3,982,486"
Hunterdon,Readington,"1,326","21,013,473"
Hunterdon,Tewksbury,"1,823","10,528,136"
Hunterdon,Hampton Boro,911,"1,200,818"
Hunterdon,High Bridge,"1,744","5,945,709"
Hunterdon,Frenchtown,"1,697","2,292,458"
Camden,Tavistock,"30,850","154,248"
Camden,Winslow,842,"32,524,950"
Camden,Pine Hill,931,"9,700,571"
Camden,Somerdale,"1,231","6,740,048"
Cape May,Stone Harbor,"20,816","16,860,604"
Cape May,Lower Township,"1,343","28,659,613"
Cape May,Ocean City,"7,186","78,835,926"
Cumberland,Hopewell,539,"2,346,737"
Cumberland,Commercial,727,"3,573,546"
Cape May,Wildwood Crest,"8,199","24,991,228"
Cape May,West Cape May,"2,709","2,711,289"
Burlington,Springfield,"1,303","4,244,146"
Burlington,Westampton,"1,375","11,888,868"
Burlington,Woodland,809,"1,429,447"
Camden,Berlin,"1,191","8,973,125"
Camden,Brooklawn,"1,890","3,586,800"
Camden,Chesilhurst,"2,108","3,410,137"
Camden,Gibbsboro,"1,589","3,523,873"
Camden,Gloucester Twp,"1,013","64,721,796"
Camden,Haddonfield,"1,693","19,162,512"
Camden,Oaklyn,"1,561","6,175,335"
Camden,Magnolia,"1,239","5,296,011"
Burlington,Riverton,"1,218","3,270,051"
Burlington,Pemberton,"1,141","1,510,500"
Burlington,Riverside,957,"7,481,144"
Burlington,North Hanover,500,"3,734,000"
Burlington,Palmyra,"1,226","8,752,720"
Burlington,Mount Laurel,"1,065","43,917,171"
Burlington,New Hanover,223,"1,739,294"
Burlington,Medford,"5,387","21,083,655"
Burlington,Mount Holly,"1,060","10,116,771"
Burlington,Southampton,720,"7,267,161"
Burlington,Shamong,559,"3,556,667"
Burlington,Medford Lakes,201,"4,696,107"
Hunterdon,Union Twp,676,"3,691,134"
Hunterdon,Stockton,"1,444","739,320"
Hunterdon,Lambertville,"1,504","5,716,026"
Mercer,Lawrence,"1,559","50,552,661"
Mercer,Trenton,"2,622","218,191,068"
Mercer,Ewing,"1,351","49,028,884"
Mercer,Hightstown,"1,457","7,728,996"
Middlesex,Highland Park,"1,202","16,486,672"
Middlesex,Middlesex Borough,"1,520","20,788,683"
Middlesex,Carteret,"2,132","49,903,993"
Middlesex,East Brunswick,"1,496","71,246,754"
Hudson,Bayonne,"2,010","130,418,789"
Gloucester,Woodbury Heights,"1,385","4,104,427"
Hudson,Jersey City,"2,263","593,163,326"
Hudson,Harrison,"2,248","45,090,776"
Hudson,Secaucus,"2,789","61,064,726"
Hunterdon,Bethlehem,999,"3,851,126"
Hunterdon,Clinton,"1,800","4,836,360"
Hunterdon,Delaware,"1,178","5,210,999"
Hunterdon,Franklin Twp,974,"3,425,270"
Hunterdon,Glen Gardner,729,"1,393,573"
Hunterdon,Holland,"1,084","5,523,434"
Gloucester,Paulsboro,"1,559","9,128,681"
Gloucester,Newfield,"1,065","1,643,830"
Gloucester,National Park,"1,104","3,247,728"
Gloucester,Monroe,"1,030","37,971,222"
Gloucester,Logan,"2,180","12,804,446"
Gloucester,West Deptford,"1,674","35,120,962"
Gloucester,Westville,"1,389","5,757,500"
Gloucester,Washington Twp,893,"42,653,823"
Gloucester,Wenonah,"1,140","2,521,968"
Gloucester,South Harrison,773,"2,413,728"
Gloucester,Swedesboro,"1,113","2,857,443"
Essex,Millburn,"2,967","59,582,098"
Essex,Irvington,"2,164","117,520,777"
Cumberland,Upper Deerfield,709,"5,158,038"
Cumberland,Millville,"1,253","34,313,226"
Essex,Cedar Grove,"1,240","15,487,603"
Essex,Belleville,"1,958","71,476,209"
Essex,Roseland,"2,618","15,277,417"
Essex,Verona,"1,825","24,436,312"
Gloucester,Clayton,947,"8,278,793"
Gloucester,Glassboro,"1,363","27,643,120"
Essex,North Caldwell,"1,383","9,153,930"
Bergen,Woodcliff Lake,"2,333","13,622,177"
Sussex,Andover Twp,"1,638","9,615,365"
Bergen,Wood-Ridge,"2,164","20,112,385"
Somerset,Watchung,"2,613","15,696,357"
Bergen,Washington Twp,"1,465","13,445,299"
Bergen,Waldwick,"1,395","14,103,728"
Sussex,Green,"1,037","3,600,221"
Sussex,Fredon,912,"2,882,518"
Sussex,Frankford,820,"4,347,127"
Burlington,Bordentown,"1,555","5,898,001"
Burlington,Bass River,"1,489","2,108,150"
Sussex,Branchville,"1,622","1,263,506"
Sussex,Lafayette,999,"2,359,494"
Sussex,Montague,718,"2,620,064"
Sussex,Hamburg,"1,053","3,297,696"
Sussex,Hardyston,"1,417","11,032,629"
Bergen,Tenafly,"2,121","30,661,681"
Bergen,Upper Saddle River,"1,581","12,970,085"
Bergen,Saddle Brook,"1,814","24,605,687"
Bergen,South Hackensack,"4,099","9,981,822"
Bergen,Ramsey,"1,648","24,521,391"
Bergen,Paramus,"2,671","70,151,833"
Bergen,Ridgewood,"2,031","50,893,903"
Somerset,Branchburg,"1,519","22,029,312"
Bergen,Ridgefield,"2,023","22,603,474"
Bergen,Rochelle Park,"2,280","12,696,584"
Somerset,Franklin Twp,"1,021","67,030,499"
Bergen,River Vale,"1,741","17,377,773"
Somerset,Bridgewater,"1,018","44,751,868"
Somerset,Millstone,"1,472","600,658"
Bergen,Rutherford,"1,758","32,176,535"
Somerset,Hillsborough,798,"31,890,788"
Somerset,Montgomery,"1,325","30,638,032"
Somerset,Peapack Gladstone,"2,759","7,164,056"
Somerset,Rocky Hill,"1,617","1,081,489"
Somerset,Somerville,"1,737","20,954,213"
Somerset,Warren,"1,340","20,937,723"
Bergen,Oakland,"1,557","20,124,806"
Bergen,Old Tappan,"1,719","10,131,828"
Bergen,Palisades Park,"1,166","24,155,490"
Monmouth,Wall,"1,625","41,536,619"
Monmouth,Tinton Falls,"1,560","27,227,245"
Monmouth,Spring Lake,"4,108","11,930,876"
Monmouth,Rumson,"2,805","18,833,721"
Monmouth,Oceanport,"1,573","8,998,044"
Monmouth,Neptune Twp,"1,647","45,106,993"
Monmouth,Millstone Twp,725,"7,538,784"
Monmouth,Howell,"1,035","53,763,825"
Monmouth,Matawan,"1,500","12,957,432"
Monmouth,Loch Arbour,"6,926","1,246,685"
Monmouth,Keyport,"1,584","11,050,422"
Monmouth,Hazlet,"1,084","21,319,178"
Monmouth,Freehold,"1,438","16,802,270"
Monmouth,Fair Haven,"1,651","9,469,036"
Cumberland,Bridgeton,"1,036","25,027,502"
Cape May,Woodbine,"1,027","2,478,182"
Monmouth,Bradley Beach,"2,235","9,268,900"
Cumberland,Fairfield,630,"3,725,312"
Monmouth,Avon By The Sea,"2,885","5,144,343"
Cumberland,Deerfield,816,"2,458,303"
Monmouth,Allentown,"1,446","2,566,678"
Monmouth,Aberdeen,"1,131","21,869,851"
Cumberland,Lawrence,686,"2,098,991"
Middlesex,South River,"1,209","19,076,206"
Cumberland,Greenwich,"1,071","811,771"
Sussex,Vernon,"1,200","26,378,351"
Middlesex,South Brunswick,"1,320","60,294,644"
Sussex,Sussex,780,"1,547,617"
Burlington,Maple Shade,929,"17,162,911"
Union,Berkeley Heights,"1,599","21,367,395"
Sussex,Walpack,"10,814","118,951"
Burlington,Fieldsboro,"1,448","799,200"
Sussex,Ogdensburg,"1,299","2,928,974"
Burlington,Edgewater Park,918,"7,940,770"
Sussex,Stanhope,"1,478","4,884,881"
Burlington,Lumberton,789,"9,624,929"
Sussex,Sandyston,830,"1,512,973"
Burlington,Florence,"1,008","12,583,739"
Burlington,Burlington Twp,"1,073","24,241,980"
Burlington,Cinnaminson,981,"16,034,800"
Burlington,Delanco,"1,417","6,277,246"
Burlington,Eastampton,946,"5,810,933"
Union,Cranford,"1,624","39,063,377"
Union,Elizabeth,"2,019","260,844,806"
Union,Garwood,"1,918","8,347,586"
Burlington,Bordentown Twp,"1,253","14,925,089"
Cumberland,Maurice River,658,"3,915,185"
Cumberland,Shiloh,701,"341,436"
Cumberland,Stow Creek,475,"650,338"
Cumberland,Vineland,"1,107","65,798,348"
Middlesex,New Brunswick,"1,671","93,029,782"
Middlesex,Plainsboro,"1,324","30,290,796"
Morris,Parsippany-Troy Hills,"1,874","96,645,606"
Morris,Randolph,"2,119","53,779,817"
Cape May,Dennis,785,"4,822,741"
Cape May,Middle Township,"1,220","22,168,834"
Cape May,Avalon,"22,537","27,855,139"
Cape May,Cape May Point,"6,880","1,891,884"
Camden,Woodlynne,"1,331","3,880,270"
Cape May,Wildwood,"6,047","29,922,667"
Cape May,West Wildwood,"5,209","2,865,000"
Cape May,Upper Township,"1,151","13,721,439"
Cape May,Sea Isle City,"12,145","24,642,938"
Cape May,North Wildwood,"8,294","31,186,866"
Ocean,South Toms River,"1,416","5,219,295"
Ocean,Seaside Park,"7,099","10,954,270"
Morris,Rockaway Twp,"1,736","44,918,414"
Morris,Rockaway,"1,830","11,484,826"
Passaic,Clifton,"1,395","118,616,279"
Ocean,Tuckerton,"1,497","5,071,550"
Ocean,Toms River,"1,410","132,709,855"
Ocean,Stafford,"1,746","48,628,776"
Morris,Kinnelon,"1,647","16,298,240"
Camden,Laurel Springs,"1,658","3,093,000"
Camden,Lindenwold,932,"16,081,436"
Camden,Merchantville,"1,334","4,934,012"
Camden,Mount Ephraim,"1,343","6,160,892"
Camden,Waterford,"1,098","11,734,371"
Camden,Voorhees,"1,392","40,602,000"
Morris,Netcong,"1,585","4,961,488"
Camden,Pine Valley,"46,455","511,000"
Camden,Pennsauken,"1,106","39,550,000"
Camden,Stratford,955,"6,644,023"
Camden,Runnemede,"1,084","8,997,000"
Morris,Madison,"2,559","45,168,476"
Morris,Lincoln Park,"2,471","24,981,920"
Morris,Mine Hill,"1,558","5,420,203"
Morris,Mendham,"1,992","9,656,215"
Morris,Morris Twp,"6,875","43,002,573"
